# e/g shape veto vs |ieta|, hwPt
# Index is (|ieta|-1)*256*64+shape*256+hwPt
# Veto corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 19 1 </header>

0 1 # ieta=1, shape=0, ET=0
1 1 # ieta=1, shape=0, ET=1
2 1 # ieta=1, shape=0, ET=2
3 1 # ieta=1, shape=0, ET=3
4 1 # ieta=1, shape=0, ET=4
5 1 # ieta=1, shape=0, ET=5
6 1 # ieta=1, shape=0, ET=6
7 1 # ieta=1, shape=0, ET=7
8 1 # ieta=1, shape=0, ET=8
9 1 # ieta=1, shape=0, ET=9
10 1 # ieta=1, shape=0, ET=10
11 1 # ieta=1, shape=0, ET=11
12 1 # ieta=1, shape=0, ET=12
13 1 # ieta=1, shape=0, ET=13
14 1 # ieta=1, shape=0, ET=14
15 1 # ieta=1, shape=0, ET=15
16 1 # ieta=1, shape=0, ET=16
17 1 # ieta=1, shape=0, ET=17
18 1 # ieta=1, shape=0, ET=18
19 1 # ieta=1, shape=0, ET=19
20 1 # ieta=1, shape=0, ET=20
21 1 # ieta=1, shape=0, ET=21
22 1 # ieta=1, shape=0, ET=22
23 1 # ieta=1, shape=0, ET=23
24 1 # ieta=1, shape=0, ET=24
25 1 # ieta=1, shape=0, ET=25
26 1 # ieta=1, shape=0, ET=26
27 1 # ieta=1, shape=0, ET=27
28 1 # ieta=1, shape=0, ET=28
29 1 # ieta=1, shape=0, ET=29
30 1 # ieta=1, shape=0, ET=30
31 1 # ieta=1, shape=0, ET=31
32 1 # ieta=1, shape=0, ET=32
33 1 # ieta=1, shape=0, ET=33
34 1 # ieta=1, shape=0, ET=34
35 1 # ieta=1, shape=0, ET=35
36 1 # ieta=1, shape=0, ET=36
37 1 # ieta=1, shape=0, ET=37
38 1 # ieta=1, shape=0, ET=38
39 1 # ieta=1, shape=0, ET=39
40 1 # ieta=1, shape=0, ET=40
41 1 # ieta=1, shape=0, ET=41
42 1 # ieta=1, shape=0, ET=42
43 1 # ieta=1, shape=0, ET=43
44 1 # ieta=1, shape=0, ET=44
45 1 # ieta=1, shape=0, ET=45
46 1 # ieta=1, shape=0, ET=46
47 1 # ieta=1, shape=0, ET=47
48 1 # ieta=1, shape=0, ET=48
49 1 # ieta=1, shape=0, ET=49
50 1 # ieta=1, shape=0, ET=50
51 1 # ieta=1, shape=0, ET=51
52 1 # ieta=1, shape=0, ET=52
53 1 # ieta=1, shape=0, ET=53
54 1 # ieta=1, shape=0, ET=54
55 1 # ieta=1, shape=0, ET=55
56 1 # ieta=1, shape=0, ET=56
57 1 # ieta=1, shape=0, ET=57
58 1 # ieta=1, shape=0, ET=58
59 1 # ieta=1, shape=0, ET=59
60 1 # ieta=1, shape=0, ET=60
61 1 # ieta=1, shape=0, ET=61
62 1 # ieta=1, shape=0, ET=62
63 1 # ieta=1, shape=0, ET=63
64 1 # ieta=1, shape=0, ET=64
65 1 # ieta=1, shape=0, ET=65
66 1 # ieta=1, shape=0, ET=66
67 1 # ieta=1, shape=0, ET=67
68 1 # ieta=1, shape=0, ET=68
69 1 # ieta=1, shape=0, ET=69
70 1 # ieta=1, shape=0, ET=70
71 1 # ieta=1, shape=0, ET=71
72 1 # ieta=1, shape=0, ET=72
73 1 # ieta=1, shape=0, ET=73
74 1 # ieta=1, shape=0, ET=74
75 1 # ieta=1, shape=0, ET=75
76 1 # ieta=1, shape=0, ET=76
77 1 # ieta=1, shape=0, ET=77
78 1 # ieta=1, shape=0, ET=78
79 1 # ieta=1, shape=0, ET=79
80 1 # ieta=1, shape=0, ET=80
81 1 # ieta=1, shape=0, ET=81
82 1 # ieta=1, shape=0, ET=82
83 1 # ieta=1, shape=0, ET=83
84 1 # ieta=1, shape=0, ET=84
85 1 # ieta=1, shape=0, ET=85
86 1 # ieta=1, shape=0, ET=86
87 1 # ieta=1, shape=0, ET=87
88 1 # ieta=1, shape=0, ET=88
89 1 # ieta=1, shape=0, ET=89
90 1 # ieta=1, shape=0, ET=90
91 1 # ieta=1, shape=0, ET=91
92 1 # ieta=1, shape=0, ET=92
93 1 # ieta=1, shape=0, ET=93
94 1 # ieta=1, shape=0, ET=94
95 1 # ieta=1, shape=0, ET=95
96 1 # ieta=1, shape=0, ET=96
97 1 # ieta=1, shape=0, ET=97
98 1 # ieta=1, shape=0, ET=98
99 1 # ieta=1, shape=0, ET=99
100 1 # ieta=1, shape=0, ET=100
101 1 # ieta=1, shape=0, ET=101
102 1 # ieta=1, shape=0, ET=102
103 1 # ieta=1, shape=0, ET=103
104 1 # ieta=1, shape=0, ET=104
105 1 # ieta=1, shape=0, ET=105
106 1 # ieta=1, shape=0, ET=106
107 1 # ieta=1, shape=0, ET=107
108 1 # ieta=1, shape=0, ET=108
109 1 # ieta=1, shape=0, ET=109
110 1 # ieta=1, shape=0, ET=110
111 1 # ieta=1, shape=0, ET=111
112 1 # ieta=1, shape=0, ET=112
113 1 # ieta=1, shape=0, ET=113
114 1 # ieta=1, shape=0, ET=114
115 1 # ieta=1, shape=0, ET=115
116 1 # ieta=1, shape=0, ET=116
117 1 # ieta=1, shape=0, ET=117
118 1 # ieta=1, shape=0, ET=118
119 1 # ieta=1, shape=0, ET=119
120 1 # ieta=1, shape=0, ET=120
121 1 # ieta=1, shape=0, ET=121
122 1 # ieta=1, shape=0, ET=122
123 1 # ieta=1, shape=0, ET=123
124 1 # ieta=1, shape=0, ET=124
125 1 # ieta=1, shape=0, ET=125
126 1 # ieta=1, shape=0, ET=126
127 1 # ieta=1, shape=0, ET=127
128 1 # ieta=1, shape=0, ET=128
129 1 # ieta=1, shape=0, ET=129
130 1 # ieta=1, shape=0, ET=130
131 1 # ieta=1, shape=0, ET=131
132 1 # ieta=1, shape=0, ET=132
133 1 # ieta=1, shape=0, ET=133
134 1 # ieta=1, shape=0, ET=134
135 1 # ieta=1, shape=0, ET=135
136 1 # ieta=1, shape=0, ET=136
137 1 # ieta=1, shape=0, ET=137
138 1 # ieta=1, shape=0, ET=138
139 1 # ieta=1, shape=0, ET=139
140 1 # ieta=1, shape=0, ET=140
141 1 # ieta=1, shape=0, ET=141
142 1 # ieta=1, shape=0, ET=142
143 1 # ieta=1, shape=0, ET=143
144 1 # ieta=1, shape=0, ET=144
145 1 # ieta=1, shape=0, ET=145
146 1 # ieta=1, shape=0, ET=146
147 1 # ieta=1, shape=0, ET=147
148 1 # ieta=1, shape=0, ET=148
149 1 # ieta=1, shape=0, ET=149
150 1 # ieta=1, shape=0, ET=150
151 1 # ieta=1, shape=0, ET=151
152 1 # ieta=1, shape=0, ET=152
153 1 # ieta=1, shape=0, ET=153
154 1 # ieta=1, shape=0, ET=154
155 1 # ieta=1, shape=0, ET=155
156 1 # ieta=1, shape=0, ET=156
157 1 # ieta=1, shape=0, ET=157
158 1 # ieta=1, shape=0, ET=158
159 1 # ieta=1, shape=0, ET=159
160 1 # ieta=1, shape=0, ET=160
161 1 # ieta=1, shape=0, ET=161
162 1 # ieta=1, shape=0, ET=162
163 1 # ieta=1, shape=0, ET=163
164 1 # ieta=1, shape=0, ET=164
165 1 # ieta=1, shape=0, ET=165
166 1 # ieta=1, shape=0, ET=166
167 1 # ieta=1, shape=0, ET=167
168 1 # ieta=1, shape=0, ET=168
169 1 # ieta=1, shape=0, ET=169
170 1 # ieta=1, shape=0, ET=170
171 1 # ieta=1, shape=0, ET=171
172 1 # ieta=1, shape=0, ET=172
173 1 # ieta=1, shape=0, ET=173
174 1 # ieta=1, shape=0, ET=174
175 1 # ieta=1, shape=0, ET=175
176 1 # ieta=1, shape=0, ET=176
177 1 # ieta=1, shape=0, ET=177
178 1 # ieta=1, shape=0, ET=178
179 1 # ieta=1, shape=0, ET=179
180 1 # ieta=1, shape=0, ET=180
181 1 # ieta=1, shape=0, ET=181
182 1 # ieta=1, shape=0, ET=182
183 1 # ieta=1, shape=0, ET=183
184 1 # ieta=1, shape=0, ET=184
185 1 # ieta=1, shape=0, ET=185
186 1 # ieta=1, shape=0, ET=186
187 1 # ieta=1, shape=0, ET=187
188 1 # ieta=1, shape=0, ET=188
189 1 # ieta=1, shape=0, ET=189
190 1 # ieta=1, shape=0, ET=190
191 1 # ieta=1, shape=0, ET=191
192 1 # ieta=1, shape=0, ET=192
193 1 # ieta=1, shape=0, ET=193
194 1 # ieta=1, shape=0, ET=194
195 1 # ieta=1, shape=0, ET=195
196 1 # ieta=1, shape=0, ET=196
197 1 # ieta=1, shape=0, ET=197
198 1 # ieta=1, shape=0, ET=198
199 1 # ieta=1, shape=0, ET=199
200 1 # ieta=1, shape=0, ET=200
201 1 # ieta=1, shape=0, ET=201
202 1 # ieta=1, shape=0, ET=202
203 1 # ieta=1, shape=0, ET=203
204 1 # ieta=1, shape=0, ET=204
205 1 # ieta=1, shape=0, ET=205
206 1 # ieta=1, shape=0, ET=206
207 1 # ieta=1, shape=0, ET=207
208 1 # ieta=1, shape=0, ET=208
209 1 # ieta=1, shape=0, ET=209
210 1 # ieta=1, shape=0, ET=210
211 1 # ieta=1, shape=0, ET=211
212 1 # ieta=1, shape=0, ET=212
213 1 # ieta=1, shape=0, ET=213
214 1 # ieta=1, shape=0, ET=214
215 1 # ieta=1, shape=0, ET=215
216 1 # ieta=1, shape=0, ET=216
217 1 # ieta=1, shape=0, ET=217
218 1 # ieta=1, shape=0, ET=218
219 1 # ieta=1, shape=0, ET=219
220 1 # ieta=1, shape=0, ET=220
221 1 # ieta=1, shape=0, ET=221
222 1 # ieta=1, shape=0, ET=222
223 1 # ieta=1, shape=0, ET=223
224 1 # ieta=1, shape=0, ET=224
225 1 # ieta=1, shape=0, ET=225
226 1 # ieta=1, shape=0, ET=226
227 1 # ieta=1, shape=0, ET=227
228 1 # ieta=1, shape=0, ET=228
229 1 # ieta=1, shape=0, ET=229
230 1 # ieta=1, shape=0, ET=230
231 1 # ieta=1, shape=0, ET=231
232 1 # ieta=1, shape=0, ET=232
233 1 # ieta=1, shape=0, ET=233
234 1 # ieta=1, shape=0, ET=234
235 1 # ieta=1, shape=0, ET=235
236 1 # ieta=1, shape=0, ET=236
237 1 # ieta=1, shape=0, ET=237
238 1 # ieta=1, shape=0, ET=238
239 1 # ieta=1, shape=0, ET=239
240 1 # ieta=1, shape=0, ET=240
241 1 # ieta=1, shape=0, ET=241
242 1 # ieta=1, shape=0, ET=242
243 1 # ieta=1, shape=0, ET=243
244 1 # ieta=1, shape=0, ET=244
245 1 # ieta=1, shape=0, ET=245
246 1 # ieta=1, shape=0, ET=246
247 1 # ieta=1, shape=0, ET=247
248 1 # ieta=1, shape=0, ET=248
249 1 # ieta=1, shape=0, ET=249
250 1 # ieta=1, shape=0, ET=250
251 1 # ieta=1, shape=0, ET=251
252 1 # ieta=1, shape=0, ET=252
253 1 # ieta=1, shape=0, ET=253
254 1 # ieta=1, shape=0, ET=254
255 1 # ieta=1, shape=0, ET=255
256 1 # ieta=1, shape=1, ET=0
257 1 # ieta=1, shape=1, ET=1
258 1 # ieta=1, shape=1, ET=2
259 1 # ieta=1, shape=1, ET=3
260 1 # ieta=1, shape=1, ET=4
261 1 # ieta=1, shape=1, ET=5
262 1 # ieta=1, shape=1, ET=6
263 1 # ieta=1, shape=1, ET=7
264 1 # ieta=1, shape=1, ET=8
265 1 # ieta=1, shape=1, ET=9
